length,org:resource|first|literal,trace:case_type|first|literal,trace:SUMleges|first|continuous,trace:Responsible_actor|first|literal,monitoringResource|first|literal,Label,Case_ID
47,560532,557669,3338.28,560519,560532,1,G1
53,560532,557669,474.1875,560521,560532,1,Fk
55,560532,557669,128.136,560519,560519,1,GU
31,560532,557669,0.0,560521,560532,1,GJ
59,560532,557669,455.22,560521,560532,1,Ev
13,560519,557669,0.0,560519,560530,1,DZ
43,560530,557669,1814.5575,560521,560530,1,E
55,560532,557669,0.0,4634935,560532,1,Ex
43,560532,557669,0.0,560521,560521,1,Ha
91,560532,557669,0.0,4634935,4634935,1,NI
89,560532,557669,0.0,4634935,560530,1,Cm
55,560532,557669,129.822,560519,560519,1,Gn
69,560532,557669,2411.6797,560519,560532,1,Ca
63,560532,557669,4540.398,560521,560532,1,HA
80,560532,557669,13647.445,4634935,560458,1,Mh
41,560532,557669,613.32465,560519,560519,1,U
68,560532,557669,2803.7505,560519,560532,1,CM
36,560532,557669,0.0,560598,560532,1,DL
56,560532,557669,2030.5763,560521,560521,1,K
61,560530,557669,330.456,560519,560519,1,EE
61,560530,557669,0.0,560530,560530,1,Dj
62,560458,557669,724.14545,560521,560521,1,I
28,560530,557669,0.0,4634935,560458,1,ME
55,560532,557669,129.822,560519,560519,1,F1
59,560532,557669,144.996,560530,560530,1,D2
109,560532,557669,13112.443,560519,560532,1,Fc
62,560530,557669,87.672,560521,560521,1,Cs
27,560458,557669,0.0,560521,560458,1,BI
21,560532,557669,0.0,560458,560458,1,J4
41,560530,557669,27.819,560458,560458,1,MV
73,560530,557669,206.535,560521,560530,1,Be
100,560532,557669,20198.28,560519,560519,1,CJ
89,560530,557669,8473.836,560521,4634935,1,CP
64,22445896,557669,273.132,560521,560521,1,Gi
45,560530,557669,0.0,560458,560458,1,P
69,560458,557669,206.535,560521,560521,1,Mu
67,4634935,557669,17549.305,4634935,4634935,1,NU
17,560530,557669,0.0,560521,560458,1,Mn
59,560530,557669,1686.8514,560519,560519,1,CR
50,560532,557669,0.0,560521,560521,1,EN
84,560532,557669,0.0,4634935,4634935,1,M5
62,560532,557669,143.31,560519,560519,1,o
82,560532,557669,0.0,4634935,4634935,1,NY
61,560530,557669,350.688,560519,560519,1,Dg
44,560530,557669,2216.247,560521,560458,1,MH
85,560530,557669,3841.551,560521,4634935,1,DC
78,560532,557669,0.0,4634935,560458,1,MN
52,560530,557669,0.0,560458,560458,1,BD
37,560530,557669,1009.3239,560519,560458,1,M1
55,22445896,557669,1877.7825,560521,560532,1,GN
44,560530,557669,4672.791,560521,560458,1,Mc
60,22445896,557669,289.992,560521,22445896,1,G2
61,560530,557669,330.456,560519,560519,1,Di
59,560532,557669,350.688,560521,560532,1,EI
65,560530,557669,2893.176,560519,560530,1,DD
67,560530,557669,13976.274,560519,560519,1,C9
65,560530,557669,63.225,560519,560519,1,C6
56,22445896,557669,3323.5276,560519,22445896,1,Ge
62,560519,557669,1574.9263,560519,560519,1,L
61,560532,557669,144.996,560519,560532,1,FS
59,560532,557669,289.992,560521,560521,1,FC
89,560532,557669,959.334,560521,560521,1,FT
70,560532,557669,63.225,560521,560532,1,D0
53,560532,557669,144.996,560521,560521,1,F7
13,560530,557669,0.0,560521,560521,1,f
58,560532,557669,2574.9436,560521,560532,1,CK
41,560530,557669,0.0,560458,560458,1,Md
42,560532,557669,2792.859,560521,560521,1,NJ
19,560532,557669,0.0,560598,560532,1,C1
53,22445896,557669,128.136,560521,560521,1,GP
54,560532,557669,5062.215,560521,560532,1,Fm
58,560530,557669,208.4739,560519,560519,1,Bi
61,560530,557669,315.6192,560521,560530,1,Dm
44,560530,557669,0.0,560521,560530,1,J
100,560532,557669,3456.3,560519,4634935,1,B1
41,560530,557669,0.0,560458,560458,1,Mx
59,560532,557669,720.765,560521,560532,1,FQ
76,560532,557669,9657.889,4634935,560458,1,MG
63,560530,557669,0.0,560530,560530,1,Cz
77,560530,557669,891.4725,560521,560521,1,Nc
61,560532,557669,289.992,560519,560519,1,FJ
70,560532,557669,12362.696,560521,560521,1,Nm
45,22445896,557669,144.996,560521,22445896,1,Gt
59,560530,557669,0.0,560530,560530,1,DX
39,560530,557669,0.0,560521,560521,1,B7
41,560530,557669,0.0,560458,560458,1,M2
61,560530,557669,89.42544,560521,560530,1,Dn
59,560530,557669,0.0,560530,560519,1,B8
21,560530,557669,0.0,560521,560521,1,Fj
61,560530,557669,63.225,560521,560530,1,Ep
75,560530,557669,182.088,560519,560519,1,Em
72,560458,557669,396.21,560521,560458,1,BN
61,560530,557669,63.225,560519,560530,1,EZ
38,560532,557669,32979.004,560521,560532,1,Fw
59,560530,557669,0.0,560530,560530,1,EQ
68,560532,557669,1522.8795,560519,560532,1,Fv
53,560532,557669,144.996,560521,560532,1,Fg
79,560530,557669,921.399,560521,560530,1,Fo
90,560530,557669,1311.708,560521,560521,1,E9
61,560530,557669,0.0,560530,560530,1,ER
61,560530,557669,0.0,560530,560530,1,FK
61,560532,557669,905.9805,560521,560532,1,Ee
51,560532,557669,5256.948,560521,560521,1,u
40,560532,557669,0.0,560521,560521,1,M0
25,22445896,557669,0.0,560521,22445896,1,HZ
43,22445896,557669,129.822,560521,22445896,1,G3
74,560519,557669,1227.408,560519,560519,1,DW
61,560530,557669,0.0,560530,560530,1,Dk
64,560532,557669,2260.2937,560519,560519,1,v
37,560521,557669,0.0,560521,560521,1,CA
56,560530,557669,0.0,560521,560521,1,5
23,560532,557669,0.0,560519,560532,1,Dv
88,560530,557669,0.0,560598,560530,1,DH
60,560530,557669,0.0,560530,560519,1,B5
98,560530,557669,1107.702,560521,560530,1,FM
48,22445896,557669,4666.005,560521,22445896,1,HB
40,560532,557669,0.0,4634935,560532,1,F2
80,560532,557669,0.0,4634935,560458,1,MP
47,560530,557669,691.26,560521,560521,1,NC
15,560532,557669,0.0,560458,560458,1,Kr
60,560532,557669,511.30478,560519,560532,1,Ce
72,560532,557669,505.8,560521,560521,1,Jc
72,560532,557669,0.0,4634935,560532,1,Fd
52,560530,557669,0.0,560458,560458,1,BE
52,560530,557669,51.8445,560519,560519,1,BB
73,560532,557669,206.535,560519,560532,1,Bk
82,560532,557669,0.0,4634935,560521,1,Mr
61,560530,557669,131.508,560519,560530,1,Ds
61,560530,557669,1134.1216,560519,560519,1,EJ
15,560532,557669,0.0,560521,560532,1,G7
110,560530,557669,5020.5034,560519,560530,1,DT
55,560532,557669,2138.691,560521,560532,1,F8
63,560532,557669,0.0,4634935,4634935,1,Bb
59,560530,557669,129.822,560530,560530,1,Fa
58,560530,557669,0.0,560530,560530,1,DJ
87,560532,557669,13156.288,4634935,4634935,1,NL
61,560530,557669,4740.7456,560521,560521,1,Dp
71,560532,557669,943.7385,560458,560532,1,Ff
65,560530,557669,126.45,560521,560458,1,MT
51,560458,557669,129.822,560530,560530,1,Fi
75,560530,557669,252.9,560521,560458,1,MU
60,560532,557669,811.3875,560521,560521,1,FY
61,560532,557669,438.36,560519,560532,1,EH
45,560532,557669,5378.34,560521,560532,1,HN
56,22445896,557669,129.822,560519,560519,1,HX
51,560458,557669,0.0,560458,560458,1,BK
40,560532,557669,4886.239,560521,560458,1,D
81,560532,557669,465.7575,560521,560521,1,R
61,560530,557669,63.225,560521,560521,1,EB
53,22445896,557669,144.996,560521,560521,1,Gx
38,560532,557669,0.0,560521,4634935,1,GC
76,560532,557669,11970.6,560519,560519,1,Bd
44,560532,557669,3837.7576,560521,560532,1,HT
62,560530,557669,9624.852,560519,560530,1,Cp
55,560532,557669,4096.98,560521,560532,1,Ft
50,560530,557669,52939.727,560521,560458,1,Mk
44,560530,557669,287.0415,560519,560458,1,Me
53,22445896,557669,1129.62,560521,22445896,1,Gs
132,560532,557669,0.0,4634935,560530,1,Cj
79,560532,557669,0.0,4634935,4634935,1,B
58,560530,557669,1243.425,560519,560530,1,i
53,22445896,557669,144.996,560521,22445896,1,Gj
64,560530,557669,0.0,560530,560519,1,Bc
71,560530,557669,0.0,560458,560519,1,BV
57,560519,557669,13804.125,560519,560519,1,BU
56,560532,557669,1716.7695,560519,560532,1,GM
44,560532,557669,143.31,560521,560521,1,Mz
26,560532,557669,0.0,560519,560458,1,Mf
16,560532,557669,0.0,4634935,560532,1,Hf
55,22445896,557669,10616.742,560521,22445896,1,HU
85,560458,557669,276.504,4634935,4634935,1,MA
103,560519,557669,0.0,560521,560521,1,E7
71,560532,557669,1993.695,560458,4634935,1,Nf
75,560458,557669,0.0,560521,560521,1,l
62,560530,557669,144.996,560530,560530,1,Cv
58,560530,557669,0.0,560519,560519,1,Bs
17,560532,557669,1060.3254,4634935,4634935,1,JJ
45,560530,557669,0.0,560521,560521,1,BC
89,560458,557669,0.0,560519,560519,1,8
44,22445896,557669,737.625,560521,560521,1,Hh
59,560530,557669,129.822,560530,560530,1,E6
19,560530,557669,0.0,4634935,560530,1,DB
55,560532,557669,161.856,560519,560519,1,GH
55,560532,557669,0.0,560521,560532,1,El
61,560532,557669,3926.2725,560519,560519,1,FL
64,560458,557669,759.89703,560458,560458,1,Nj
42,560532,557669,18145.701,560458,560458,1,MM
12,560532,557669,0.0,560521,560521,1,HG
57,560530,557669,345.42767,560458,560521,1,Co
50,560530,557669,97.3665,560521,560521,1,Mw
105,560532,557669,0.0,4634935,4634935,1,CW
26,560532,557669,0.0,4634935,560532,1,Hk
59,560532,557669,70.1376,560521,560530,1,DP
14,560532,557669,0.0,4634935,4634935,1,M8
7,560532,557669,0.0,560521,560521,1,FX
75,560532,557669,422.402,560521,560532,1,D1
51,560532,557669,143.31,560521,560521,1,p
44,560530,557669,42.15,560458,560458,1,Ma
56,560530,557669,0.0,560521,560521,1,4
76,560532,557669,0.0,4634935,4634935,1,BY
61,560530,557669,182.088,560519,560519,1,EX
56,560530,557669,0.0,560521,560521,1,3
66,560532,557669,4004.6714,560519,560532,1,GG
59,560532,557669,129.822,560530,560530,1,FF
38,560530,557669,820.8713,560519,560530,1,NT
55,560532,557669,633.936,560519,560532,1,Fr
59,560532,557669,2210.911,560521,560532,1,EY
61,560532,557669,350.688,560521,560532,1,EO
61,560532,557669,0.0,560530,560530,1,D3
69,560532,557669,0.0,4634935,4634935,1,CB
11,560532,557669,0.0,560521,560521,1,m
38,560530,557669,0.0,560458,560458,1,G
21,560532,557669,0.0,560521,560532,1,HF
74,560530,557669,0.0,560519,560519,1,Dh
48,560532,557669,259.2225,560521,560521,1,h
55,22445896,557669,505.58926,560519,22445896,1,Gd
61,560532,557669,3034.8,560519,560532,1,HS
62,560530,557669,122.7408,560519,560519,1,CV
62,560530,557669,0.0,560530,560519,1,CQ
16,560532,557669,0.0,560521,560521,1,NN
105,560530,557669,0.0,4634935,560530,1,EF
61,560532,557669,0.0,560530,560530,1,D6
15,560532,557669,0.0,560458,560458,1,L6
16,560532,557669,0.0,4634935,560532,1,Ht
11,22445896,557669,0.0,4634935,22445896,1,GS
48,560532,557669,731.3025,560521,560521,1,HE
61,560532,557669,105.2064,560521,560532,1,Ed
27,560532,557669,0.0,4634935,4634935,1,BX
16,560532,557669,0.0,560519,560532,1,HP
35,560530,557669,0.0,560519,560519,1,NR
52,560530,557669,0.0,560458,560458,1,BQ
43,560532,557669,70.812,560521,560521,1,Hg
11,22445896,557669,0.0,560521,560521,1,Gf
47,560530,557669,0.0,560521,560521,1,k
99,560532,557669,0.0,4634935,560532,1,CZ
14,560532,557669,9653.842,560458,560458,1,Ko
68,22445896,557669,4054.4084,560519,22445896,1,Gl
59,560530,557669,175.344,560521,560521,1,DU
61,560530,557669,63.225,560519,560530,1,Do
25,560532,557669,0.0,560521,560521,1,Ni
52,560530,557669,42.15,560521,560521,1,BH
59,560530,557669,148.368,560530,560530,1,Ef
59,560530,557669,148.368,560530,560530,1,De
68,560519,557669,592.2075,560519,560519,1,F6
83,560532,557669,1267.9563,4634935,560458,1,ML
41,560532,557669,618.5513,560519,560519,1,Ms
97,560530,557669,0.0,560530,560521,1,CI
80,560532,557669,1841.7443,560519,560519,1,F9
56,560532,557669,129.822,560519,560519,1,HD
62,560530,557669,0.0,560521,560521,1,CN
61,560530,557669,412.6485,560521,560530,1,Ew
61,560530,557669,0.0,560530,560530,1,Dl
26,20987361,557669,0.0,4634935,4634935,1,G0
59,560532,557669,252.2256,560521,560532,1,Eb
73,560532,557669,292.9425,560521,560521,1,c
87,560530,557669,0.0,560521,560521,1,ED
42,560532,557669,18526.408,560458,4634935,1,Nh
62,560530,557669,87.672,560521,560530,1,Ct
58,560532,557669,128.136,560521,560532,1,Gz
51,560530,557669,15199.332,560521,560521,1,NK
71,560530,557669,4290.701,560519,560519,1,CT
45,560532,557669,0.0,560519,560532,1,C7
44,560532,557669,2004.654,560521,560521,1,Mv
44,560458,557669,0.0,560458,560458,1,MZ
73,560530,557669,0.0,560598,560530,1,DI
63,560532,557669,4776.8594,560519,560532,1,HJ
62,560530,557669,0.0,560530,560530,1,Ck
86,560532,557669,0.0,4634935,4634935,1,O
68,560530,557669,143.31,560521,560521,1,Bh
68,560532,557669,527.90344,560519,4634935,1,Cl
26,560530,557669,0.0,560521,560521,1,DA
17,560532,557669,0.0,560458,560458,1,Ks
13,560532,557669,5045.7764,560521,560532,1,Hl
64,560532,557669,3878.8538,560521,560521,1,t
52,560530,557669,0.0,560458,560458,1,BF
55,22445896,557669,148.368,560519,560519,1,GX
65,560530,557669,0.0,560530,560521,1,B9
18,560532,557669,0.0,560521,560532,1,Hs
31,560532,557669,0.0,560521,560521,1,Hn
71,560532,557669,144.996,560521,560532,1,FV
62,560530,557669,186.51375,560521,560521,1,CS
44,560530,557669,5215.472,560521,560458,1,MC
45,560532,557669,164.385,560521,560521,1,Hb
74,560519,557669,764.1795,560519,560519,1,9
63,560530,557669,286.62,560519,560519,1,b
51,560458,557669,129.822,560530,560530,1,Fh
87,560530,557669,206.535,560521,560521,1,B4
43,560532,557669,70.812,560521,560521,1,Hc
70,560532,557669,527.08575,560519,560532,1,CC
55,560530,557669,0.0,560519,560519,1,Bu
81,560519,557669,418.128,560521,560519,1,F4
45,560532,557669,4543.3486,560521,560532,1,HM
61,560532,557669,696.94183,560519,560532,1,EL
57,560532,557669,0.0,560458,560458,1,GW
40,560530,557669,4481.472,560521,560521,1,M3
115,560519,557669,10085.56,560458,560519,1,Ng
59,560530,557669,144.996,560530,560530,1,EW
32,560532,557669,0.0,4634935,4634935,1,r
41,560532,557669,97.3665,560519,560519,1,My
55,560532,557669,2397.492,560519,560532,1,GT
75,560530,557669,0.0,560521,560521,1,CF
19,22445896,557669,0.0,560521,560521,1,Gg
12,560530,557669,0.0,560521,560530,1,NV
74,560532,557669,3182.1396,560519,560532,1,C8
57,560532,557669,0.0,4634935,560532,1,Dc
89,560532,557669,6808.7,4634935,560458,1,Mb
74,560530,557669,182.088,560519,560519,1,Ea
30,560532,557669,145.2489,4634935,4634935,1,Nl
77,560532,557669,0.0,4634935,560532,1,FU
76,560532,557669,0.0,4634935,560458,1,MB
73,560532,557669,641.2364,560519,560532,1,DF
40,560530,557669,27.819,560458,560458,1,MF
58,560532,557669,143.31,560519,560519,1,NB
51,560458,557669,63.225,560458,560458,1,V
98,560532,557669,276.504,4634935,560532,1,CG
37,560530,557669,0.0,560521,560521,1,NM
92,560519,557669,12833.883,560458,560519,1,Nb
61,560530,557669,0.0,560530,560530,1,Eu
53,22445896,557669,129.822,560521,22445896,1,GR
55,560532,557669,144.996,560519,560519,1,Fy
33,560530,557669,0.0,560519,560519,1,B6
69,560530,557669,881.3565,560519,4634935,1,g
61,560532,557669,2002.496,560519,560532,1,E2
61,560530,557669,6762.1245,560521,560521,1,Ec
61,560530,557669,0.0,560530,560530,1,Eo
41,560532,557669,379.35,560458,560458,1,L8
39,560530,557669,0.0,560521,560521,1,B0
10,560530,557669,0.0,560519,560519,1,Bt
54,22445896,557669,5850.8413,560521,22445896,1,Gh
49,560530,557669,42.15,560521,560530,1,MW
53,560530,557669,6280.763,560521,560521,1,x
52,560530,557669,0.0,560521,560458,1,w
53,560532,557669,144.996,560521,560532,1,Go
61,560530,557669,0.0,560530,560530,1,EP
52,560458,557669,0.0,560458,560458,1,BL
48,22445896,557669,19856.865,560521,22445896,1,HR
72,560458,557669,2360.4,560458,560458,1,LL
58,560530,557669,63.225,560521,560521,1,Bx
84,560530,557669,0.0,4634935,4634935,1,A
82,560530,557669,144.996,560530,560530,1,Cc
40,560530,557669,126.45,560521,560458,1,MR
55,560532,557669,0.0,560521,560532,1,Ek
48,560532,557669,129.822,560519,560532,1,HQ
54,560532,557669,1456.704,560521,560521,1,Bn
69,560521,557669,1296.1125,560521,560521,1,NQ
69,560532,557669,4351.9873,560521,560532,1,Fp
9,560519,557669,0.0,560519,560519,1,Cx
30,560532,557669,13988.109,560458,560458,1,KM
61,560530,557669,219.18,560521,560530,1,DK
6,560532,557669,0.0,560521,560521,1,Cw
55,560532,557669,128.136,560519,560532,1,GK
59,560530,557669,0.0,560530,560530,1,E3
96,560530,557669,0.0,4634935,4634935,1,CU
47,560530,557669,0.0,560519,560519,1,Cr
59,560532,557669,0.0,560530,560530,1,Dy
63,560530,557669,129.822,560458,560530,1,FB
73,560519,557669,2147.5762,560519,560519,1,NO
53,22445896,557669,795.792,560521,22445896,1,Gw
70,560532,557669,5808.3965,560519,560532,1,CH
60,560458,557669,250.58176,560519,560519,1,C
20,560532,557669,0.0,4634935,560532,1,DS
20,560532,557669,0.0,560521,560532,1,FG
62,560458,557669,143.31,560521,560521,1,a
52,560532,557669,2394.963,560519,560532,1,BP
75,560532,557669,63.225,560519,560532,1,Ei
51,20987361,557669,0.0,4634935,4634935,1,FW
63,560532,557669,143.31,560519,560519,1,BT
82,560530,557669,758.7,560521,560521,1,D9
61,560532,557669,602.3235,560519,560532,1,E1
7,560530,557669,0.0,560521,560521,1,y
40,560532,557669,345.63,560521,560521,1,Mt
63,22445896,557669,3224.475,560519,22445896,1,HY
24,560532,557669,0.0,560519,560532,1,HH
82,560530,557669,379.35,560519,560519,1,MK
61,560532,557669,0.0,560530,560530,1,Dz
13,560530,557669,17616.121,4634935,560530,1,C4
13,560530,557669,0.0,560521,560530,1,DN
68,22445896,557669,195.1545,560519,560519,1,GZ
76,560519,557669,792.42,560519,560519,1,2
59,560530,557669,0.0,560530,560530,1,EK
47,560532,557669,7464.0737,560521,560521,1,MS
74,560458,557669,1481.4208,560521,560521,1,MX
13,560532,557669,0.0,560519,560532,1,C5
56,560530,557669,5689.9126,560521,560530,1,MY
66,560519,557669,1122.6821,560458,560519,1,DQ
52,560530,557669,241.941,560519,560530,1,NP
70,560532,557669,941.3275,560521,560532,1,Cf
61,560532,557669,6439.2554,560521,560532,1,FO
54,560532,557669,0.0,560458,560458,1,BS
64,560532,557669,0.0,560598,560598,1,DR
33,560532,557669,0.0,560458,560458,1,Ju
61,560532,557669,0.0,560530,560530,1,D4
66,560532,557669,1814.136,560519,560532,1,GF
78,560532,557669,1030.3737,560519,560519,1,n
60,560458,557669,143.31,560521,560521,1,X
67,560530,557669,206.535,560521,560521,1,7
46,560532,557669,0.0,560519,560532,1,FI
61,560532,557669,182.088,560519,560519,1,EM
61,560532,557669,1113.7885,560519,560519,1,Eg
43,560530,557669,0.0,560458,560458,1,Ml
61,560532,557669,143.31,560519,560532,1,CD
58,560532,557669,185.46,560519,560519,1,M6
12,22445896,557669,0.0,560521,560521,1,Hr
47,560532,557669,143.31,560519,560532,1,Bo
59,560530,557669,0.0,560530,560530,1,DM
55,560532,557669,6042.2026,560519,560532,1,GO
50,560530,557669,144.996,560530,560521,1,CX
41,560530,557669,0.0,560458,560458,1,L9
76,560530,557669,0.0,560530,560530,1,DV
54,560532,557669,3248.7957,560521,560532,1,Bm
44,560532,557669,2626.788,560521,560521,1,Na
20,560532,557669,0.0,560521,560532,1,DE
51,560530,557669,169.8645,560519,560458,1,MI
44,560532,557669,1753.44,560458,560458,0,KK
